bedrooms,bathrooms,square_footage,lot_size_acres,year_built,garage_spaces,property_type,neighborhood_quality,school_rating,crime_rate_index,distance_to_downtown_miles,has_pool,has_renovation,tax_assessed_value,days_on_market,listing_description,price
4,3,1741,0.08,1957,2,0,3,8.9,4.73,3.8,0,0,196065,20,"Don't miss this appealing opportunity with separate dining room and living area. The property includes new roof installed within the last five years and sits on a delightful lot. Welcome to this attractive property with open floor plan with abundant natural light. Close to parks, shopping, and public transportation options. The home has two bedrooms and two bathrooms.",241562
4,3,1487,0.08,1952,0,1,1,6.1,5.77,6.1,0,0,62600,144,"The home needs work but provides solid bones and a good structural foundation. Attention investors: economical property with price reduced for a quick sale. The home needs work but provides sold strictly as-is condition. Priced to sell, this cozy home has large lot with future development potential. Attention investors: practical property with motivated seller offering below market value. This economical property offers large lot with future development potential. Priced to sell, this cozy home has a true handyman special. Close to parks, shopping, and public transportation options. Minutes from downtown with a straightforward commute.",81055
2,2,1208,0.36,1980,1,2,1,8.3,5.51,1.3,0,0,92553,120,"A convenient home with solid bones and a good structural foundation. Attention investors: affordable property with a true handyman special. Priced to sell, this solid home has solid bones and a good structural foundation. This compact property offers large lot with future development potential. Attention investors: modest property with sold strictly as-is condition. A well-located home with cosmetic updates needed throughout. This cozy property offers motivated seller offering below market value. Don't overlook this solid opportunity featuring tremendous potential for the right buyer. The home has two bedrooms and one bathrooms. The property sits on a private lot in an established neighborhood.",103455
5,5,2074,0.32,1993,2,2,5,10.0,1.7,1.4,0,0,670639,4,"Welcome to this stunning home featuring gleaming hardwood floors throughout. This sophisticated property offers custom-built cabinetry and designer finishes. Enjoy state-of-the-art smart home system in this sophisticated estate. Every detail reflects breathtaking craftsmanship and design. Rarely available, this luxurious residence boasts gourmet kitchen with marble countertops. The home showcases chef's kitchen with professional-grade appliances alongside state-of-the-art smart home system. This stunning property offers custom-built cabinetry and designer finishes. Every detail reflects breathtaking craftsmanship and design. This breathtaking property offers private wine cellar. Close to parks, shopping, and public transportation options. Located in the west village area with easy access to major highways.",729581
3,4,1665,0.32,1968,2,0,3,9.7,2.52,14.7,0,0,154804,18,"Don't miss this delightful opportunity with recently updated kitchen and bathrooms. This well-maintained home features fresh interior paint and new carpet. Featuring fresh interior paint and new carpet, this comfortable home is perfect for families. Don't miss this inviting opportunity with separate dining room and living area. The property includes fresh interior paint and new carpet and sits on a delightful lot. This comfortable home features family-friendly neighborhood with good schools. Featuring fresh interior paint and new carpet, this comfortable home is perfect for families. Close to parks, shopping, and public transportation options. Located in the south end area with easy access to major highways.",194742
1,1,756,0.17,2015,1,1,3,5.6,3.76,4.7,0,0,96657,20,"Don't overlook this economical opportunity featuring price reduced for a quick sale. Priced to sell, this modest home has solid bones and a good structural foundation. Attention investors: functional property with tremendous potential for the right buyer. Don't overlook this solid opportunity featuring motivated seller offering below market value. This modest property offers large lot with future development potential. The home needs work but provides great location despite needing some TLC. Priced to sell, this affordable home has sold strictly as-is condition. A cozy home with tremendous potential for the right buyer. The property sits on a corner lot in an established neighborhood. Located in the suburban area with easy access to major highways.",110987
3,2,1467,0.39,1955,2,2,3,6.3,6.01,10.3,0,1,150104,13,"The home needs work but provides motivated seller offering below market value. Priced to sell, this compact home has great location despite needing some TLC. Attention investors: well-located property with solid bones and a good structural foundation. This affordable property offers sold strictly as-is condition. Don't overlook this well-located opportunity featuring price reduced for a quick sale. A well-located home with tremendous potential for the right buyer. This compact property offers large lot with future development potential. Attention investors: compact property with motivated seller offering below market value. The home has two bedrooms and three bathrooms. The property sits on a generous lot in an established neighborhood.",164631
3,3,1727,0.08,1945,2,0,2,8.6,5.04,7.6,0,0,152200,6,"Welcome to this stunning home featuring grand foyer with soaring ceilings. Enjoy expansive master suite with walk-in closet in this prestigious estate. Every detail reflects breathtaking craftsmanship and design. Rarely available, this stunning residence boasts gourmet kitchen with marble countertops. This prestigious property offers private wine cellar.",162314
3,3,1637,0.27,1952,0,3,3,5.6,4.33,7.0,0,0,107719,45,"Priced to sell, this affordable home has ideal for investors or first-time homebuyers. A well-located home with great location despite needing some TLC. Priced to sell, this functional home has large lot with future development potential. Attention investors: modest property with cosmetic updates needed throughout. Priced to sell, this convenient home has solid bones and a good structural foundation. Don't overlook this well-located opportunity featuring cosmetic updates needed throughout. This well-located property offers sold strictly as-is condition. Minutes from downtown with a straightforward commute. The property sits on a private lot in an established neighborhood.",150551
4,4,1988,0.47,1939,2,3,2,8.1,4.82,33.9,0,1,102048,123,"An economical home with a true handyman special. The home needs work but provides motivated seller offering below market value. Priced to sell, this convenient home has great location despite needing some TLC. This practical property offers a true handyman special. Don't overlook this solid opportunity featuring great location despite needing some TLC. The home needs work but provides sold strictly as-is condition. Attention investors: convenient property with solid bones and a good structural foundation. Located in the north side area with easy access to major highways. Close to parks, shopping, and public transportation options.",118898
4,4,1702,0.08,1974,3,3,4,7.1,1.31,2.7,0,1,525976,37,"The home showcases grand foyer with soaring ceilings alongside resort-style pool and outdoor entertaining area. This prestigious property offers gourmet kitchen with marble countertops. Rarely available, this stunning residence boasts expansive master suite with walk-in closet. Enjoy custom-built cabinetry and designer finishes in this stunning estate. This impeccable property offers gourmet kitchen with marble countertops. The home showcases chef's kitchen with professional-grade appliances alongside gleaming hardwood floors throughout. Enjoy grand foyer with soaring ceilings in this exquisite estate. Every detail reflects breathtaking craftsmanship and design. The home has four bedrooms and three bathrooms. Close to parks, shopping, and public transportation options.",648269
3,3,1512,0.25,1948,3,2,1,5.3,7.36,9.5,0,0,104990,11,"This practical property offers motivated seller offering below market value. Priced to sell, this compact home has large lot with future development potential. Attention investors: solid property with motivated seller offering below market value. This convenient property offers great location despite needing some TLC. An affordable home with great location despite needing some TLC. This cozy property offers a true handyman special. Attention investors: solid property with large lot with future development potential. The property sits on a generous lot in an established neighborhood. Close to parks, shopping, and public transportation options.",115215
4,4,1989,0.1,1984,1,1,5,9.7,2.36,4.2,1,1,426638,35,"This magnificent property offers gleaming hardwood floors throughout. The home showcases custom-built cabinetry and designer finishes alongside expansive master suite with walk-in closet. Welcome to this stunning home featuring gourmet kitchen with marble countertops. This impeccable property offers grand foyer with soaring ceilings. The home showcases state-of-the-art smart home system alongside spa-inspired master bathroom. Located in the south end area with easy access to major highways. Close to parks, shopping, and public transportation options.",500108
2,2,1426,0.34,1978,2,1,1,4.3,4.67,20.3,0,0,57573,82,"Priced to sell, this functional home has motivated seller offering below market value. Attention investors: convenient property with cosmetic updates needed throughout. Don't overlook this affordable opportunity featuring great location despite needing some TLC. The home needs work but provides sold strictly as-is condition. This cozy property offers a true handyman special. Don't overlook this solid opportunity featuring tremendous potential for the right buyer. Minutes from downtown with a straightforward commute. Located in the south end area with easy access to major highways.",80000
4,4,2134,0.27,2022,0,3,1,4.4,6.63,0.5,0,0,179956,21,"This updated home features separate dining room and living area. Welcome to this appealing property with convenient location near shops and restaurants. Featuring separate dining room and living area, this well-maintained home is perfect for families. A move-in ready residence offering family-friendly neighborhood with good schools. Featuring separate dining room and living area, this appealing home is perfect for families. Don't miss this inviting opportunity with ample storage and closet space. The property sits on a level lot in an established neighborhood. The home has two bedrooms and one bathrooms.",219863
3,4,1646,0.28,1937,3,1,3,9.5,3.67,10.1,0,1,140737,11,"Featuring open floor plan with abundant natural light, this spacious home is perfect for families. Welcome to this charming property with separate dining room and living area. This charming home features new roof installed within the last five years. Featuring new roof installed within the last five years, this move-in ready home is perfect for families. A spacious residence offering family-friendly neighborhood with good schools. The home has four bedrooms and two bathrooms. Close to parks, shopping, and public transportation options.",196913
4,5,2724,0.08,1992,0,3,4,6.0,4.47,12.7,0,1,388440,3,"Enjoy state-of-the-art smart home system in this exquisite estate. This exceptional property offers state-of-the-art smart home system. Every detail reflects exceptional craftsmanship and design. The home showcases private wine cellar alongside resort-style pool and outdoor entertaining area. Every detail reflects magnificent craftsmanship and design. Enjoy resort-style pool and outdoor entertaining area in this breathtaking estate. Rarely available, this exceptional residence boasts panoramic views of the surrounding landscape. The home showcases custom-built cabinetry and designer finishes alongside expansive master suite with walk-in closet. The property sits on a generous lot in an established neighborhood. The home has four bedrooms and one bathrooms.",509012
2,1,1493,0.29,1990,1,3,4,8.8,3.13,6.7,0,1,144382,15,"Don't miss this appealing opportunity with separate dining room and living area. The property includes ample storage and closet space and sits on an appealing lot. This comfortable home features ample storage and closet space. An attractive residence offering family-friendly neighborhood with good schools. Welcome to this well-maintained property with fresh interior paint and new carpet. Featuring quiet tree-lined street, this move-in ready home is perfect for families. An inviting residence offering open floor plan with abundant natural light. Don't miss this comfortable opportunity with family-friendly neighborhood with good schools. Close to parks, shopping, and public transportation options. The home has five bedrooms and one bathrooms. Close to parks, shopping, and public transportation options.",202765
3,2,1454,0.2,1922,2,1,5,10.0,4.11,2.9,0,0,170212,14,"The property includes large fenced backyard and sits on an updated lot. Don't miss this move-in ready opportunity with new roof installed within the last five years. This well-maintained home features family-friendly neighborhood with good schools. An inviting residence offering separate dining room and living area. The property includes quiet tree-lined street and sits on a charming lot. This delightful home features new roof installed within the last five years. Featuring quiet tree-lined street, this inviting home is perfect for families. Located in the north side area with easy access to major highways. Close to parks, shopping, and public transportation options.",205210
6,6,2646,0.28,1942,3,0,2,6.7,2.68,6.1,0,0,341590,44,"The home showcases private wine cellar alongside gleaming hardwood floors throughout. Rarely available, this prestigious residence boasts gourmet kitchen with marble countertops. The home showcases grand foyer with soaring ceilings alongside expansive master suite with walk-in closet. This luxurious property offers state-of-the-art smart home system. The home showcases resort-style pool and outdoor entertaining area alongside expansive master suite with walk-in closet. Enjoy chef's kitchen with professional-grade appliances in this luxurious estate. Welcome to this prestigious home featuring grand foyer with soaring ceilings. Close to parks, shopping, and public transportation options. The property sits on a corner lot in an established neighborhood.",408118
4,3,2121,0.52,1975,1,1,1,5.6,4.68,42.1,0,0,61563,15,"The home needs work but provides a true handyman special. Attention investors: well-located property with ideal for investors or first-time homebuyers. This functional property offers tremendous potential for the right buyer. Don't overlook this economical opportunity featuring large lot with future development potential. This affordable property offers cosmetic updates needed throughout. Don't overlook this well-located opportunity featuring large lot with future development potential. The home needs work but provides a true handyman special. Close to parks, shopping, and public transportation options. Minutes from downtown with a straightforward commute.",87586
3,3,1608,0.08,1924,2,0,3,7.4,3.12,0.8,1,0,84249,47,"Attention investors: functional property with large lot with future development potential. An economical home with large lot with future development potential. Attention investors: convenient property with large lot with future development potential. An affordable home with solid bones and a good structural foundation. Priced to sell, this affordable home has cosmetic updates needed throughout. This solid property offers motivated seller offering below market value. A practical home with large lot with future development potential. Priced to sell, this economical home has a true handyman special. Close to parks, shopping, and public transportation options. Located in the central area with easy access to major highways.",99283
3,3,1741,0.34,1938,1,0,1,7.6,4.16,7.7,0,0,74627,170,"The home needs work but provides tremendous potential for the right buyer. A modest home with price reduced for a quick sale. Don't overlook this well-located opportunity featuring price reduced for a quick sale. Attention investors: solid property with great location despite needing some TLC. Priced to sell, this modest home has solid bones and a good structural foundation. Attention investors: practical property with motivated seller offering below market value. Don't overlook this economical opportunity featuring sold strictly as-is condition. Priced to sell, this modest home has large lot with future development potential. Minutes from downtown with a straightforward commute. The property sits on a level lot in an established neighborhood. Minutes from downtown with a straightforward commute.",105722
5,6,1968,0.24,2020,0,3,5,9.3,0.1,5.9,0,1,1344244,83,"Enjoy gleaming hardwood floors throughout in this exquisite estate. The home showcases gleaming hardwood floors throughout alongside waterfront location with private dock. Enjoy waterfront location with private dock in this magnificent estate. Rarely available, this exceptional residence boasts resort-style pool and outdoor entertaining area. Close to parks, shopping, and public transportation options. Minutes from downtown with a straightforward commute. The home has four bedrooms and three bathrooms.",1655985
2,3,1316,0.83,1929,1,3,4,8.7,2.03,2.0,0,1,211820,58,"Welcome to this comfortable property with ample storage and closet space. An updated residence offering fresh interior paint and new carpet. Don't miss this attractive opportunity with family-friendly neighborhood with good schools. The property includes large fenced backyard and sits on a well-maintained lot. Don't miss this delightful opportunity with ample storage and closet space. The property includes large fenced backyard and sits on a spacious lot. Close to parks, shopping, and public transportation options. Located in the north side area with easy access to major highways.",291589
4,4,1868,0.46,2010,2,1,4,9.0,0.85,0.9,0,1,291726,13,"The home needs work but provides price reduced for a quick sale. Priced to sell, this affordable home has cosmetic updates needed throughout. The home needs work but provides great location despite needing some TLC. Attention investors: practical property with great location despite needing some TLC.",400269
6,5,2426,0.16,1989,0,0,3,7.0,5.21,13.4,0,0,252335,8,The home showcases gourmet kitchen with marble countertops alongside grand foyer with soaring ceilings. Welcome to this stunning home featuring state-of-the-art smart home system. The home showcases expansive master suite with walk-in closet alongside chef's kitchen with professional-grade appliances. This magnificent property offers expansive master suite with walk-in closet. Enjoy panoramic views of the surrounding landscape in this magnificent estate. The home has two bedrooms and two and a half bathrooms. Located in the central area with easy access to major highways.,339460
4,4,1697,0.13,1968,3,0,2,7.7,6.19,1.0,0,0,204251,14,"Don't miss this inviting opportunity with large fenced backyard. Welcome to this updated property with quiet tree-lined street. A charming residence offering separate dining room and living area. The property includes quiet tree-lined street and sits on an inviting lot. Featuring family-friendly neighborhood with good schools, this charming home is perfect for families. A spacious residence offering quiet tree-lined street. Welcome to this well-maintained property with family-friendly neighborhood with good schools. This well-maintained home features family-friendly neighborhood with good schools. Close to parks, shopping, and public transportation options. The home has two bedrooms and two bathrooms.",270565
3,4,1286,0.41,1968,3,1,3,7.4,4.73,23.9,0,1,156506,8,"This attractive home features convenient location near shops and restaurants. Welcome to this charming property with fresh interior paint and new carpet. The property includes open floor plan with abundant natural light and sits on a charming lot. Don't miss this well-maintained opportunity with ample storage and closet space. This well-maintained home features recently updated kitchen and bathrooms. A spacious residence offering convenient location near shops and restaurants. Featuring family-friendly neighborhood with good schools, this inviting home is perfect for families. This appealing home features separate dining room and living area. The home has five bedrooms and three bathrooms. Located in the west village area with easy access to major highways.",222063
5,4,2297,0.07,1980,0,1,3,6.0,3.95,3.5,0,0,217465,7,"The property includes new roof installed within the last five years and sits on a move-in ready lot. Welcome to this spacious property with separate dining room and living area. A charming residence offering family-friendly neighborhood with good schools. This charming home features separate dining room and living area. Featuring recently updated kitchen and bathrooms, this move-in ready home is perfect for families. Close to parks, shopping, and public transportation options. Minutes from downtown with a straightforward commute.",268595
4,3,1966,0.68,1980,1,3,1,4.2,8.31,5.8,0,0,156533,4,"Priced to sell, this functional home has solid bones and a good structural foundation. This cozy property offers a true handyman special. Attention investors: well-located property with large lot with future development potential. An economical home with tremendous potential for the right buyer. Don't overlook this convenient opportunity featuring ideal for investors or first-time homebuyers. Priced to sell, this practical home has large lot with future development potential. Don't overlook this cozy opportunity featuring price reduced for a quick sale. The home has four bedrooms and one bathrooms. The property sits on a private lot in an established neighborhood.",174186
3,3,1714,0.42,1955,1,2,1,4.6,4.67,1.0,0,1,93969,32,Attention investors: affordable property with large lot with future development potential. This modest property offers a true handyman special. A well-located home with solid bones and a good structural foundation. The home needs work but provides a true handyman special. This cozy property offers ideal for investors or first-time homebuyers. The property sits on a standard-sized lot in an established neighborhood. Located in the east district area with easy access to major highways.,99236
3,3,1396,0.51,2017,0,3,2,6.2,7.41,8.1,0,1,107865,75,"The home needs work but provides large lot with future development potential. Don't overlook this modest opportunity featuring great location despite needing some TLC. The home needs work but provides large lot with future development potential. Attention investors: compact property with large lot with future development potential. Close to parks, shopping, and public transportation options. The home has two bedrooms and one bathrooms.",127256
5,5,2546,0.11,1970,2,2,1,4.4,4.79,0.5,0,0,119712,7,"A functional home with ideal for investors or first-time homebuyers. Priced to sell, this cozy home has sold strictly as-is condition. The home needs work but provides motivated seller offering below market value. Attention investors: convenient property with price reduced for a quick sale. The home has three bedrooms and one bathrooms. Close to parks, shopping, and public transportation options.",168411
3,2,2018,0.28,2024,2,2,1,4.3,2.53,3.5,0,0,183635,127,"The property includes separate dining room and living area and sits on a move-in ready lot. Welcome to this charming property with convenient location near shops and restaurants. An inviting residence offering family-friendly neighborhood with good schools. Featuring separate dining room and living area, this comfortable home is perfect for families. An inviting residence offering new roof installed within the last five years. Welcome to this inviting property with new roof installed within the last five years. Minutes from downtown with a straightforward commute. Close to parks, shopping, and public transportation options. The home has five bedrooms and one bathrooms.",248934
5,6,1866,0.22,1955,3,1,2,8.2,4.83,26.3,0,1,216595,90,"Don't miss this updated opportunity with separate dining room and living area. A spacious residence offering large fenced backyard. Featuring open floor plan with abundant natural light, this inviting home is perfect for families. Welcome to this delightful property with open floor plan with abundant natural light. Don't miss this move-in ready opportunity with quiet tree-lined street. This inviting home features fresh interior paint and new carpet. Don't miss this move-in ready opportunity with quiet tree-lined street. The property includes ample storage and closet space and sits on a move-in ready lot. Located in the north side area with easy access to major highways. Close to parks, shopping, and public transportation options.",305797
6,6,2478,0.42,1976,1,1,2,6.1,4.45,3.9,0,0,207518,30,"Welcome to this inviting property with new roof installed within the last five years. This well-maintained home features family-friendly neighborhood with good schools. The property includes fresh interior paint and new carpet and sits on a well-maintained lot. Don't miss this move-in ready opportunity with new roof installed within the last five years. Close to parks, shopping, and public transportation options. The home has two bedrooms and one bathrooms.",292801
5,5,2412,0.3,1939,2,0,5,10.0,1.0,14.2,1,0,596383,12,"Welcome to this luxurious home featuring panoramic views of the surrounding landscape. Enjoy spa-inspired master bathroom in this stunning estate. Rarely available, this impeccable residence boasts resort-style pool and outdoor entertaining area. Enjoy resort-style pool and outdoor entertaining area in this impeccable estate. This magnificent property offers gourmet kitchen with marble countertops. Welcome to this breathtaking home featuring resort-style pool and outdoor entertaining area. This stunning property offers custom-built cabinetry and designer finishes. The home showcases custom-built cabinetry and designer finishes alongside gleaming hardwood floors throughout. Enjoy gleaming hardwood floors throughout in this breathtaking estate. Located in the suburban area with easy access to major highways.",692363
4,3,1947,0.4,1933,3,0,5,8.8,3.39,25.2,0,1,376266,69,"Rarely available, this stunning residence boasts chef's kitchen with professional-grade appliances. The home showcases spa-inspired master bathroom alongside gleaming hardwood floors throughout. This magnificent property offers chef's kitchen with professional-grade appliances. Every detail reflects sophisticated craftsmanship and design. Rarely available, this luxurious residence boasts gleaming hardwood floors throughout. Located in the east district area with easy access to major highways. The home has four bedrooms and two and a half bathrooms.",414249
3,3,2339,0.5,1929,1,3,1,6.6,4.4,0.6,0,0,97410,40,"The home needs work but provides a true handyman special. This practical property offers ideal for investors or first-time homebuyers. An affordable home with tremendous potential for the right buyer. Priced to sell, this well-located home has cosmetic updates needed throughout. Don't overlook this cozy opportunity featuring cosmetic updates needed throughout. Priced to sell, this affordable home has ideal for investors or first-time homebuyers. A convenient home with tremendous potential for the right buyer. Don't overlook this solid opportunity featuring a true handyman special. The home needs work but provides sold strictly as-is condition. Close to parks, shopping, and public transportation options. Located in the central area with easy access to major highways.",132007
6,6,2787,0.17,2019,1,0,5,8.0,1.57,0.8,0,1,1473916,7,"The home showcases waterfront location with private dock alongside spa-inspired master bathroom. Rarely available, this breathtaking residence boasts gourmet kitchen with marble countertops. This impeccable property offers state-of-the-art smart home system. Welcome to this luxurious home featuring grand foyer with soaring ceilings. Rarely available, this prestigious residence boasts resort-style pool and outdoor entertaining area. Enjoy chef's kitchen with professional-grade appliances in this magnificent estate. The home showcases resort-style pool and outdoor entertaining area alongside state-of-the-art smart home system. Every detail reflects exceptional craftsmanship and design. The property sits on a private lot in an established neighborhood. The home has three bedrooms and one bathrooms.",1667850
2,2,1318,0.65,1987,0,3,3,6.5,5.63,1.7,1,0,149947,7,"An appealing residence offering quiet tree-lined street. This delightful home features convenient location near shops and restaurants. The property includes quiet tree-lined street and sits on a delightful lot. Welcome to this appealing property with recently updated kitchen and bathrooms. The property sits on a standard-sized lot in an established neighborhood. Close to parks, shopping, and public transportation options.",210897
2,3,1242,0.84,2015,0,0,1,4.6,6.64,3.1,0,0,69552,19,"An economical home with sold strictly as-is condition. Don't overlook this solid opportunity featuring solid bones and a good structural foundation. Attention investors: solid property with tremendous potential for the right buyer. This compact property offers a true handyman special. Don't overlook this practical opportunity featuring motivated seller offering below market value. A modest home with large lot with future development potential. Don't overlook this convenient opportunity featuring solid bones and a good structural foundation. This cozy property offers large lot with future development potential. Close to parks, shopping, and public transportation options. Minutes from downtown with a straightforward commute.",89062
3,3,1432,1.9,2011,0,1,1,8.0,5.98,1.1,0,1,136089,24,"Attention investors: solid property with price reduced for a quick sale. This convenient property offers ideal for investors or first-time homebuyers. Priced to sell, this modest home has sold strictly as-is condition. A cozy home with price reduced for a quick sale. The home needs work but provides large lot with future development potential. An affordable home with motivated seller offering below market value. The home needs work but provides sold strictly as-is condition. Don't overlook this compact opportunity featuring price reduced for a quick sale. Minutes from downtown with a straightforward commute. The property sits on a level lot in an established neighborhood.",167217
4,5,2226,0.18,1930,3,2,1,5.4,6.78,0.8,1,0,250166,69,"Welcome to this spacious property with convenient location near shops and restaurants. A charming residence offering open floor plan with abundant natural light. Featuring quiet tree-lined street, this spacious home is perfect for families. This attractive home features quiet tree-lined street. Don't miss this appealing opportunity with separate dining room and living area. An inviting residence offering new roof installed within the last five years. Close to parks, shopping, and public transportation options. The property sits on a level lot in an established neighborhood.",288754
2,1,1619,0.12,1938,2,2,3,5.1,4.51,18.6,1,0,87739,13,"Don't overlook this cozy opportunity featuring motivated seller offering below market value. Priced to sell, this well-located home has price reduced for a quick sale. A solid home with large lot with future development potential. Minutes from downtown with a straightforward commute. The property sits on a level lot in an established neighborhood.",104520
3,3,1747,0.19,1982,3,0,2,5.9,7.44,8.8,0,1,82408,12,"Attention investors: affordable property with large lot with future development potential. Priced to sell, this compact home has motivated seller offering below market value. Don't overlook this convenient opportunity featuring ideal for investors or first-time homebuyers. An affordable home with cosmetic updates needed throughout. This solid property offers large lot with future development potential. Don't overlook this compact opportunity featuring ideal for investors or first-time homebuyers. A functional home with tremendous potential for the right buyer. Attention investors: solid property with solid bones and a good structural foundation. The property sits on a private lot in an established neighborhood. The home has three bedrooms and two bathrooms.",103143
3,2,1970,0.76,1947,2,3,4,7.9,2.12,13.2,0,0,248452,2,"An updated residence offering recently updated kitchen and bathrooms. This well-maintained home features quiet tree-lined street. Welcome to this well-maintained property with fresh interior paint and new carpet. The property includes convenient location near shops and restaurants and sits on a move-in ready lot. Welcome to this charming property with quiet tree-lined street. Featuring fresh interior paint and new carpet, this attractive home is perfect for families. The property includes large fenced backyard and sits on a delightful lot. Minutes from downtown with a straightforward commute. Close to parks, shopping, and public transportation options. Minutes from downtown with a straightforward commute.",296866
