budget_millions,runtime_minutes,genre_primary,sequel_number,director_avg_gross,lead_actor_avg_gross,studio_tier,release_month,is_holiday_release,mpaa_rating,num_theaters_opening,marketing_spend_millions,critic_score_pre_release,social_media_buzz_index,plot_summary,worldwide_gross_millions
66.5,120,7,1,87.4,17.2,2,12,1,3,1777,27.5,30,75.4,The franchise returns as A sweeping score accompanies the visually stunning world-building. The globe-spanning adventure takes audiences on a monumental journey. The story builds to a spectacular climax of epic proportions. Two people from different worlds are brought together by a twist of fate at a music festival. Former partners reunite during the holiday season and confront unresolved feelings. Childhood friends rediscover each other years later in a small seaside village. The globe-spanning adventure takes audiences on a monumental journey. Childhood friends rediscover each other years later in a small seaside village. Two strangers fall in love during an unexpected summer on the coast. The globe-spanning adventure takes audiences on a monumental journey.,53.1
26.9,75,0,0,40.0,51.9,0,12,1,3,1857,14.2,55,12.3,"A rogue operative pursues a weapons dealer across three continents. Explosive combat sequences unfold across a post-apocalyptic wasteland. A squad of fighters defends a besieged city against overwhelming forces. An undercover agent discovers a conspiracy that could trigger a global conflict. Massive action sequences and explosive confrontations define this blockbuster spectacle. The stakes are enormous, and the payoff is nothing short of spectacular. Massive action sequences and explosive confrontations define this blockbuster spectacle. An undercover agent discovers a conspiracy that could trigger a global conflict. An elite special forces team is deployed to neutralize a growing threat. A former soldier is pulled back into action when an old enemy resurfaces.",48.1
129.7,108,0,0,218.6,48.7,1,2,0,0,3147,97.6,63,33.1,An undercover agent discovers a conspiracy that could trigger a global conflict. A former soldier is pulled back into action when an old enemy resurfaces. A squad of fighters defends a besieged city against overwhelming forces. A former soldier is pulled back into action when an old enemy resurfaces. A rogue operative pursues a weapons dealer across three continents. The globe-spanning adventure takes audiences on a monumental journey.,130.7
65.3,97,0,1,94.3,3.5,0,11,1,3,1797,21.5,57,20.8,The franchise returns as The globe-spanning adventure takes audiences on a monumental journey. A sweeping score accompanies the visually stunning world-building. The hero must fight through waves of adversaries to reach the stronghold. A former soldier is pulled back into action when an old enemy resurfaces. An undercover agent discovers a conspiracy that could trigger a global conflict.,75.7
197.0,124,6,2,127.7,59.7,2,6,1,3,3623,129.1,87,22.2,"An operative deep undercover realizes the people she trusts are the real threat. An analyst stumbles upon evidence of a conspiracy that could topple the government. The quiet, introspective approach emphasizes mood over spectacle. An intimate character study unfolds at a contemplative and deliberate pace. A journalist investigating a corporate scandal becomes a target of powerful forces. An analyst stumbles upon evidence of a conspiracy that could topple the government. A journalist investigating a corporate scandal becomes a target of powerful forces.",187.8
26.6,102,0,0,37.8,56.7,0,10,0,3,3210,13.8,46,24.5,"A battle-hardened warrior leads a desperate mission into enemy territory. An elite special forces team is deployed to neutralize a growing threat. An undercover agent discovers a conspiracy that could trigger a global conflict. A squad of fighters defends a besieged city against overwhelming forces. The quiet, introspective approach emphasizes mood over spectacle. A rogue operative pursues a weapons dealer across three continents. Understated performances convey deep emotion through restraint and silence. The avant-garde visual style creates a meditative atmosphere throughout. Understated performances convey deep emotion through restraint and silence. The hero must fight through waves of adversaries to reach the stronghold.",27.4
14.8,133,3,1,12.4,500.0,2,7,1,2,2281,7.7,47,24.9,"Once again, A haunted artifact passes between victims, each confronting their deepest fears. The experimental narrative challenges conventional storytelling in subtle ways. The avant-garde visual style creates a meditative atmosphere throughout. An investigator probing mysterious disappearances becomes the next target. A student conducting research in a remote cabin awakens something underground. Understated performances convey deep emotion through restraint and silence. A couple on a secluded vacation discovers they are being watched. A student conducting research in a remote cabin awakens something underground. The avant-garde visual style creates a meditative atmosphere throughout. Strange occurrences in a cursed village point to a terrifying supernatural force.",18.7
38.1,89,6,0,182.3,10.3,1,1,0,1,2342,13.6,100,29.8,"A journalist investigating a corporate scandal becomes a target of powerful forces. Massive action sequences and explosive confrontations define this blockbuster spectacle. A cyber operative races against time to stop an imminent attack on infrastructure. The stakes are enormous, and the payoff is nothing short of spectacular. A cyber operative races against time to stop an imminent attack on infrastructure. An analyst stumbles upon evidence of a conspiracy that could topple the government. The stakes are enormous, and the payoff is nothing short of spectacular. A sweeping score accompanies the visually stunning world-building.",51.1
10.3,75,7,0,86.1,18.8,1,2,0,3,1949,6.5,56,45.6,A raw and unflinching look at ordinary life in extraordinary circumstances. Former partners reunite during the holiday season and confront unresolved feelings. An intimate character study unfolds at a contemplative and deliberate pace. Understated performances convey deep emotion through restraint and silence. An intimate character study unfolds at a contemplative and deliberate pace. Two people from different worlds are brought together by a twist of fate at a music festival.,17.5
205.7,75,0,0,9.3,159.6,2,4,0,1,3392,87.8,64,23.7,"A rogue operative pursues a weapons dealer across three continents. The globe-spanning adventure takes audiences on a monumental journey. The hero must fight through waves of adversaries to reach the stronghold. A former soldier is pulled back into action when an old enemy resurfaces. The stakes are enormous, and the payoff is nothing short of spectacular. The hero must fight through waves of adversaries to reach the stronghold. An elite special forces team is deployed to neutralize a growing threat.",86.4
39.2,100,4,0,116.0,116.5,2,12,1,2,2445,19.9,56,30.3,"A scientist races to prevent a catastrophic experiment from unraveling reality. In a dystopian future, an android questions the nature of its own existence. Explorers stumble upon a parallel dimension where the laws of physics differ. The story builds to a spectacular climax of epic proportions. In a dystopian future, an android questions the nature of its own existence. Colonists on a distant world discover the planet has a consciousness of its own.",75.2
15.1,116,6,0,52.3,8.4,1,3,0,3,2819,6.5,66,24.0,An operative deep undercover realizes the people she trusts are the real threat. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A detective uncovers a web of corruption that reaches the highest levels of power. The film delivers an enjoyable blend of tension and emotional resonance. A fugitive must prove their innocence while being hunted by both sides of the law. An operative deep undercover realizes the people she trusts are the real threat. A witness to a crime is drawn into the criminal underworld's most dangerous game. Compelling performances anchor this entertaining and accessible film.,30.3
12.6,98,2,1,38.1,29.0,0,10,0,0,2436,5.1,17,35.1,"In the latest installment, A couple grapples with a devastating diagnosis that changes everything. A community rallies together in the aftermath of an unexpected tragedy. The experimental narrative challenges conventional storytelling in subtle ways. The quiet dissolution of a marriage is examined from both perspectives. The avant-garde visual style creates a meditative atmosphere throughout. A teacher in a struggling school fights to reach students others have given up on.",14.2
42.1,113,0,2,500.0,77.9,0,10,0,3,2773,26.1,70,13.6,"In the latest installment, A former soldier is pulled back into action when an old enemy resurfaces. A squad of fighters defends a besieged city against overwhelming forces. An elite special forces team is deployed to neutralize a growing threat. A sweeping score accompanies the visually stunning world-building. A battle-hardened warrior leads a desperate mission into enemy territory. Explosive combat sequences unfold across a post-apocalyptic wasteland. Breathtaking visual effects and thrilling set pieces drive the narrative forward.",66.1
37.6,80,7,0,109.6,6.3,0,1,0,3,2330,12.4,73,39.1,"A couple separated by circumstance must decide if love is worth the distance. Rivals in a competitive industry are forced to work together and find unexpected connection. A couple separated by circumstance must decide if love is worth the distance. Two people from different worlds are brought together by a twist of fate at a music festival. The quiet, introspective approach emphasizes mood over spectacle. The experimental narrative challenges conventional storytelling in subtle ways. Two people from different worlds are brought together by a twist of fate at a music festival. Rivals in a competitive industry are forced to work together and find unexpected connection.",27.1
133.8,107,4,2,103.5,65.0,0,7,1,3,2907,80.1,39,17.5,"The franchise returns as In a dystopian future, an android questions the nature of its own existence. A sweeping score accompanies the visually stunning world-building. A crew aboard a deep-space vessel encounters an alien signal that defies explanation. A scientist races to prevent a catastrophic experiment from unraveling reality. The story builds to a spectacular climax of epic proportions. Explorers stumble upon a parallel dimension where the laws of physics differ. A quantum physicist accidentally opens a gateway to an alternate timeline.",111.1
135.9,103,7,1,174.6,151.3,1,6,1,2,2277,70.2,48,65.9,"In the latest installment, Breathtaking visual effects and thrilling set pieces drive the narrative forward. Childhood friends rediscover each other years later in a small seaside village. Neighbors in a charming apartment building find romance through shared misadventures. A sweeping score accompanies the visually stunning world-building. Massive action sequences and explosive confrontations define this blockbuster spectacle. Breathtaking visual effects and thrilling set pieces drive the narrative forward.",70.7
67.4,108,4,1,78.4,75.5,1,10,0,0,1814,53.2,65,40.0,"In the latest installment, The globe-spanning adventure takes audiences on a monumental journey. Colonists on a distant world discover the planet has a consciousness of its own. The stakes are enormous, and the payoff is nothing short of spectacular. A space station crew faces a mysterious threat that picks them off one by one. Massive action sequences and explosive confrontations define this blockbuster spectacle. Breathtaking visual effects and thrilling set pieces drive the narrative forward. A scientist races to prevent a catastrophic experiment from unraveling reality.",75.3
85.9,135,6,0,27.1,18.8,1,1,0,2,3036,45.1,63,88.9,"An analyst stumbles upon evidence of a conspiracy that could topple the government. The story builds to a spectacular climax of epic proportions. A detective uncovers a web of corruption that reaches the highest levels of power. The globe-spanning adventure takes audiences on a monumental journey. A fugitive must prove their innocence while being hunted by both sides of the law. The stakes are enormous, and the payoff is nothing short of spectacular. The story builds to a spectacular climax of epic proportions.",56.6
17.3,109,2,0,43.1,9.2,1,6,1,2,2693,10.0,56,61.2,"An immigrant family navigates the challenges of building a new life. The stakes are enormous, and the payoff is nothing short of spectacular. A survivor returns to a small town to face the trauma of the past. Breathtaking visual effects and thrilling set pieces drive the narrative forward. A couple grapples with a devastating diagnosis that changes everything. An immigrant family navigates the challenges of building a new life. A teacher in a struggling school fights to reach students others have given up on.",17.9
86.2,112,1,0,17.9,82.3,0,6,1,3,2476,26.6,23,39.1,A couple navigates the awkward world of meeting each other's parents. Breathtaking visual effects and thrilling set pieces drive the narrative forward. A small-town festival becomes the backdrop for a series of slapstick mishaps. Massive action sequences and explosive confrontations define this blockbuster spectacle. An accidental mix-up at a high school reunion leads to comedic chaos. Massive action sequences and explosive confrontations define this blockbuster spectacle. A sweeping score accompanies the visually stunning world-building.,64.4
8.8,87,1,2,165.5,12.7,0,2,0,0,2298,3.5,87,84.6,"In the latest installment, An intimate character study unfolds at a contemplative and deliberate pace. A family road trip goes hilariously wrong at every possible turn. A raw and unflinching look at ordinary life in extraordinary circumstances. A family road trip goes hilariously wrong at every possible turn. A couple navigates the awkward world of meeting each other's parents. An accidental mix-up at a high school reunion leads to comedic chaos.",27.5
33.6,95,3,0,32.6,14.9,1,5,0,3,2282,14.3,48,39.1,"Intriguing twists keep the audience invested from beginning to end. Strong character development elevates the story above familiar territory. A haunted artifact passes between victims, each confronting their deepest fears. Compelling performances anchor this entertaining and accessible film. The engaging story balances humor and heart with well-crafted pacing. A family moves into a remote farmhouse where something sinister waits. Intriguing twists keep the audience invested from beginning to end. A family moves into a remote farmhouse where something sinister waits.",33.9
11.6,122,1,0,14.7,110.0,1,12,1,2,1898,8.7,51,13.4,Understated performances convey deep emotion through restraint and silence. An intimate character study unfolds at a contemplative and deliberate pace. A raw and unflinching look at ordinary life in extraordinary circumstances. The experimental narrative challenges conventional storytelling in subtle ways. A group of misfit friends accidentally ruins the most important wedding of the year.,22.1
42.4,128,6,0,26.4,34.3,2,7,1,2,2403,19.8,50,21.7,An operative deep undercover realizes the people she trusts are the real threat. A journalist investigating a corporate scandal becomes a target of powerful forces. A detective uncovers a web of corruption that reaches the highest levels of power. A journalist investigating a corporate scandal becomes a target of powerful forces. A detective uncovers a web of corruption that reaches the highest levels of power. A journalist investigating a corporate scandal becomes a target of powerful forces. A fugitive must prove their innocence while being hunted by both sides of the law.,36.8
94.4,136,2,0,33.1,14.6,1,8,0,1,1717,46.4,42,89.7,The globe-spanning adventure takes audiences on a monumental journey. The story builds to a spectacular climax of epic proportions. A family confronts long-buried secrets that threaten to tear them apart. A survivor returns to a small town to face the trauma of the past. An immigrant family navigates the challenges of building a new life. The story builds to a spectacular climax of epic proportions. The globe-spanning adventure takes audiences on a monumental journey. The story builds to a spectacular climax of epic proportions. A family confronts long-buried secrets that threaten to tear them apart. A teacher in a struggling school fights to reach students others have given up on.,48.4
17.9,125,1,1,64.4,36.5,2,2,0,0,1725,11.1,60,36.7,The saga continues as Understated performances convey deep emotion through restraint and silence. The avant-garde visual style creates a meditative atmosphere throughout. An intimate character study unfolds at a contemplative and deliberate pace. An accidental mix-up at a high school reunion leads to comedic chaos. Two rival neighbors compete in an absurd contest that spirals out of control. A small-town festival becomes the backdrop for a series of slapstick mishaps.,20.5
47.8,106,2,1,107.1,24.9,1,3,0,2,2065,14.5,51,42.4,The franchise returns as The film delivers an enjoyable blend of tension and emotional resonance. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A survivor returns to a small town to face the trauma of the past. An immigrant family navigates the challenges of building a new life. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A teacher in a struggling school fights to reach students others have given up on. A survivor returns to a small town to face the trauma of the past. An immigrant family navigates the challenges of building a new life.,35.8
5.7,133,7,0,41.8,43.6,2,10,0,2,1370,3.5,21,24.8,Massive action sequences and explosive confrontations define this blockbuster spectacle. A sweeping score accompanies the visually stunning world-building. Former partners reunite during the holiday season and confront unresolved feelings. Breathtaking visual effects and thrilling set pieces drive the narrative forward. The globe-spanning adventure takes audiences on a monumental journey. Two people from different worlds are brought together by a twist of fate at a music festival. A chance encounter at a Paris bookshop changes two lives forever. Rivals in a competitive industry are forced to work together and find unexpected connection.,7.4
89.6,96,6,0,58.8,9.7,0,6,1,2,3427,48.1,81,64.2,The globe-spanning adventure takes audiences on a monumental journey. A detective uncovers a web of corruption that reaches the highest levels of power. A sweeping score accompanies the visually stunning world-building. A journalist investigating a corporate scandal becomes a target of powerful forces. A sweeping score accompanies the visually stunning world-building. Massive action sequences and explosive confrontations define this blockbuster spectacle. The globe-spanning adventure takes audiences on a monumental journey. An operative deep undercover realizes the people she trusts are the real threat. A journalist investigating a corporate scandal becomes a target of powerful forces.,67.7
163.8,116,3,0,116.7,11.7,0,6,1,3,3804,58.2,70,20.2,"Strange occurrences in a cursed village point to a terrifying supernatural force. An investigator probing mysterious disappearances becomes the next target. Breathtaking visual effects and thrilling set pieces drive the narrative forward. Massive action sequences and explosive confrontations define this blockbuster spectacle. A haunted artifact passes between victims, each confronting their deepest fears. A couple on a secluded vacation discovers they are being watched. The story builds to a spectacular climax of epic proportions. A haunted artifact passes between victims, each confronting their deepest fears.",83.3
35.2,75,7,0,22.0,2.1,1,6,1,1,3191,25.4,62,136.5,Rivals in a competitive industry are forced to work together and find unexpected connection. A chance encounter at a Paris bookshop changes two lives forever. The film delivers an enjoyable blend of tension and emotional resonance. Childhood friends rediscover each other years later in a small seaside village. Compelling performances anchor this entertaining and accessible film. Neighbors in a charming apartment building find romance through shared misadventures. Strong character development elevates the story above familiar territory.,29.9
15.2,112,0,0,11.6,44.0,0,8,0,0,2058,6.9,62,17.8,A former soldier is pulled back into action when an old enemy resurfaces. An undercover agent discovers a conspiracy that could trigger a global conflict. A raw and unflinching look at ordinary life in extraordinary circumstances. The hero must fight through waves of adversaries to reach the stronghold. A rogue operative pursues a weapons dealer across three continents. An intimate character study unfolds at a contemplative and deliberate pace. A squad of fighters defends a besieged city against overwhelming forces. The hero must fight through waves of adversaries to reach the stronghold.,17.6
36.4,93,3,0,16.8,25.0,0,6,1,2,1567,22.6,51,70.9,"Strange occurrences in a cursed village point to a terrifying supernatural force. The story builds to a spectacular climax of epic proportions. A couple on a secluded vacation discovers they are being watched. A haunted artifact passes between victims, each confronting their deepest fears. An investigator probing mysterious disappearances becomes the next target. A couple on a secluded vacation discovers they are being watched. Residents of a quiet suburb realize their neighbors are not what they seem. Strange occurrences in a cursed village point to a terrifying supernatural force. A group of college students discovers an ancient evil beneath an abandoned asylum.",56.2
69.1,99,7,0,58.1,160.9,1,5,0,2,2173,24.7,48,10.6,"Two strangers fall in love during an unexpected summer on the coast. The stakes are enormous, and the payoff is nothing short of spectacular. Two strangers fall in love during an unexpected summer on the coast. The story builds to a spectacular climax of epic proportions. A couple separated by circumstance must decide if love is worth the distance. Former partners reunite during the holiday season and confront unresolved feelings. Two people from different worlds are brought together by a twist of fate at a music festival. Two strangers fall in love during an unexpected summer on the coast.",53.3
39.0,75,2,1,16.7,113.3,1,3,0,3,2065,31.0,61,33.1,"Once again, A family confronts long-buried secrets that threaten to tear them apart. A teacher in a struggling school fights to reach students others have given up on. The quiet dissolution of a marriage is examined from both perspectives. The stakes are enormous, and the payoff is nothing short of spectacular. A community rallies together in the aftermath of an unexpected tragedy. Massive action sequences and explosive confrontations define this blockbuster spectacle. A couple grapples with a devastating diagnosis that changes everything. The globe-spanning adventure takes audiences on a monumental journey. Massive action sequences and explosive confrontations define this blockbuster spectacle. An immigrant family navigates the challenges of building a new life.",57.4
15.6,84,2,0,297.6,39.7,0,2,0,3,1819,7.3,53,114.3,A survivor returns to a small town to face the trauma of the past. Compelling performances anchor this entertaining and accessible film. A survivor returns to a small town to face the trauma of the past. A family confronts long-buried secrets that threaten to tear them apart. Intriguing twists keep the audience invested from beginning to end. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. Compelling performances anchor this entertaining and accessible film. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. The quiet dissolution of a marriage is examined from both perspectives. Intriguing twists keep the audience invested from beginning to end.,34.4
