product_type,company_size,prior_complaints_against_company,consumer_age_bracket,state_regulatory_strictness,days_since_incident,monetary_loss_reported,company_response_time_days,previously_disputed,is_repeat_complaint,submission_channel,complaint_narrative,severity
1,0,10,4,3,14,6539.33,23.4,1,1,0,I am reporting deceptive lending that has caused devastating financial consequences for dozens of families. Evidence suggests systematic consumer fraud across a widespread pattern across multiple states. This appears to be a case of abusive account practices that affects hundreds of affected consumers in my community. I am reporting abusive account practices that has caused ongoing harm that will continue without regulatory intervention. The abusive account practices I experienced appears to be consistent with previous enforcement actions against this company. Please investigate this issue and take appropriate action. I am submitting this complaint through the consumer portal.,Critical
3,2,2,3,5,5,330.57,8.9,0,1,0,"My auto loan account shows a disputed charge and customer service has been unhelpful. Despite multiple attempts, I cannot get a clear answer about my loan terms. My auto loan account shows an inaccurate balance and customer service has been unhelpful. Despite multiple attempts, I cannot get a clear answer about my loan terms. My account number ends in 2210. Please investigate this issue and take appropriate action. My account number ends in 4521.",Medium
5,0,1,4,5,94,99.86,8.9,0,0,3,There was a minor fee that I would like to understand better. Could someone explain the automatic payment settings associated with my bank account? I have a question about the fee structure related to my account. I was confused by a minor fee on my last billing cycle. I have a question about the rewards program related to my account. I am submitting this complaint through the online portal. I would appreciate a prompt response to this matter.,Low
5,1,1,3,4,5,52.13,20.0,1,0,2,I was confused by a minor fee on my last billing cycle. An insignificant minor fee appeared on my account and I need clarification. I was confused by a delayed statement on my last billing cycle. Could someone explain the my interest rate associated with my checking account?. I would appreciate a prompt response to this matter. Please investigate this issue and take appropriate action.,Low
1,2,5,1,5,10,598.49,10.4,0,0,1,My credit score has been significantly harmed due to unauthorized changes to my account terms. The company denied my application despite my repeated objections. My credit score has been severely damaged due to the wrongful denial of my legitimate claim. I suspect unauthorized account access involving my mortgage account. I received a foreclosure notice even though the underlying debt was already resolved. I am experiencing an inability to access my own funds as a result of the wrongful denial of my legitimate claim. I have attached supporting documentation for your review. I would appreciate a prompt response to this matter.,High
4,0,0,3,2,65,72.15,1.0,0,1,1,I have a question about my interest rate related to my account. I was confused by an unfamiliar charge of a few dollars on my last billing cycle. I received a fee schedule and the balance seems incorrect. A small slight overcharge appeared on my account and I need clarification. Could someone explain the the fee structure associated with my bank account?. I have attached supporting documentation for your review. I would appreciate a prompt response to this matter.,Low
4,0,3,0,3,107,17.89,1.7,0,0,1,Could someone explain the automatic payment settings associated with my bank account? I was confused by a slight overcharge on my last billing cycle. There was a slight overcharge that I would like to understand better. I received an account summary and the balance seems incorrect. I was confused by a slight overcharge on my last billing cycle. I would appreciate a prompt response to this matter.,Low
1,0,2,3,4,21,53.12,9.4,1,0,2,The company provided confusing information about the penalty structure. I am disputing an annual fee because I made the payment on time. I found an unauthorized charge of $47 on my auto loan. I was charged an overdraft charge that I believe was applied incorrectly. My personal loan account shows an inaccurate balance and customer service has been unhelpful. Please investigate this issue and take appropriate action. I have attached supporting documentation for your review.,Medium
1,1,8,3,3,33,5534.8,35.9,0,0,3,A debt collector used threatening and abusive language regarding a debt I do not owe. I received a foreclosure notice even though the underlying debt was already resolved. My credit score has been wrongfully lowered due to inaccurate information reported to the credit bureaus. The company denied my application despite my repeated objections. A debt collector has been calling me repeatedly at all hours regarding a debt I do not owe. I have attached supporting documentation for your review. I would appreciate a prompt response to this matter.,High
2,1,2,2,3,99,7.76,14.0,0,0,1,I was charged an annual fee that I believe was applied incorrectly. The company provided confusing information about the interest rate change. I am disputing a late fee because I was never notified of the policy change. I found an unauthorized charge of $125 on my bank account. I am submitting this complaint through the regulatory portal. My account number ends in 3301.,Medium
0,0,3,0,5,5,5667.49,17.8,1,1,1,Evidence suggests deliberate regulatory violations across hundreds of affected consumers in my community. I believe the company engaged in discriminatory lending practices targeting low-income families with limited financial literacy. This appears to be a case of predatory servicing that affects an entire class of vulnerable account holders. The predatory servicing I experienced appears to be indicative of a company-wide compliance failure. I am filing this complaint under the Truth in Lending Act due to repeated targeting of protected classes. I would appreciate a prompt response to this matter. Please investigate this issue and take appropriate action.,Critical
4,0,2,1,5,32,7319.66,13.5,1,1,2,A debt collector refused to validate the alleged debt regarding a debt I do not owe. I am experiencing substantial monetary losses as a result of unauthorized changes to my account terms. My credit score has been severely damaged due to the company's failure to process my payment correctly. I have attached supporting documentation for your review. My account number ends in 6693.,High
3,2,0,0,1,118,7.51,2.7,0,0,2,Could someone explain the the rewards program associated with my credit card? I received a monthly statement and the transaction date seems incorrect. I have a question about automatic payment settings related to my account. I was confused by a slight overcharge on my last billing cycle. I noticed an unfamiliar charge of a few dollars on my recent savings account statement. My account number ends in 6693. I have attached supporting documentation for your review. My account number ends in 9954.,Low
2,2,4,2,4,12,446.69,5.5,0,0,0,"I was charged an annual fee that I believe was applied incorrectly. The company provided confusing information about the interest rate change. Despite multiple attempts, I cannot get a clear answer about my loan terms. I am disputing an annual fee because the terms were not clearly disclosed. I am submitting this complaint through the regulatory portal. I have attached supporting documentation for your review.",Medium
4,2,3,1,1,92,15.76,26.2,0,1,3,"I was charged a service charge that I believe was applied incorrectly. Despite multiple attempts, I cannot get a clear answer about my loan terms. The company provided misleading information about the penalty structure. I am disputing an annual fee because I was never notified of the policy change. I was charged an overdraft charge that I believe was applied incorrectly. I am submitting this complaint through the online portal. I have attached supporting documentation for your review.",Medium
5,0,1,2,4,14,64.55,2.8,0,0,0,Could someone explain the my interest rate associated with my credit card? I noticed a minor fee on my recent checking account statement. Could someone explain the overdraft protection policies associated with my bank account? I noticed a slight overcharge on my recent bank account statement. An insignificant slight overcharge appeared on my account and I need clarification. Could someone explain the my interest rate associated with my credit card?. I am submitting this complaint through the consumer portal. My account number ends in 3301.,Low
3,2,3,4,2,9,8154.55,37.5,1,0,0,The unfair debt collection I experienced appears to be consistent with previous enforcement actions against this company. The company's knowing violation of cease-and-desist orders constitutes a violation of the Fair Debt Collection Practices Act. Evidence suggests predatory targeting of vulnerable populations across a widespread pattern across multiple states. I am reporting unfair debt collection that has caused devastating financial consequences for dozens of families. I would appreciate a prompt response to this matter.,Critical
2,0,2,1,5,251,111.42,3.4,0,0,3,There was a small billing discrepancy that I would like to understand better. I have a question about the rewards program related to my account. Could someone explain the automatic payment settings associated with my bank account? There was a small billing discrepancy that I would like to understand better. Please investigate this issue and take appropriate action. I am submitting this complaint through the online portal.,Low
4,1,5,4,5,1,975.8,14.3,1,1,3,My mortgage was continued reporting inaccurate information without proper notification or justification. The company denied my application despite my repeated objections. I received a foreclosure notice even though the underlying debt was already resolved. I am experiencing significant financial hardship as a result of the wrongful denial of my legitimate claim. I would appreciate a prompt response to this matter. I am submitting this complaint through the federal portal.,High
1,1,0,1,4,14,36.96,1.9,0,0,1,An insignificant unfamiliar charge of a few dollars appeared on my account and I need clarification. Could someone explain the the rewards program associated with my bank account? I have a question about overdraft protection policies related to my account. I would appreciate a prompt response to this matter. I am submitting this complaint through the consumer portal.,Low
0,0,8,1,1,2,153.66,7.1,0,0,2,My credit score has been negatively affected due to inaccurate information reported to the credit bureaus. My bank account was froze my account without proper notification or justification. My credit score has been negatively affected due to unauthorized changes to my account terms. I am submitting this complaint through the federal portal. I have attached supporting documentation for your review.,High
0,1,5,4,4,35,89.44,6.5,0,0,0,"I was charged a service charge that I believe was applied incorrectly. I have called four times to resolve a disputed charge but the problem persists. My auto loan account shows an inaccurate balance and customer service has been unhelpful. Despite multiple attempts, I cannot get a clear answer about my loan terms. I have attached supporting documentation for your review. Please investigate this issue and take appropriate action.",Medium
0,0,3,1,3,54,46.07,22.7,0,0,3,My credit card account shows an inaccurate balance and customer service has been unhelpful. I was charged a service charge that I believe was applied incorrectly. I am disputing a service charge because the charge does not match my records. My auto loan account shows a disputed charge and customer service has been unhelpful. The company provided misleading information about the dispute resolution process. I was charged an overdraft charge that I believe was applied incorrectly. Please investigate this issue and take appropriate action. I have attached supporting documentation for your review.,Medium
1,2,7,4,5,3,5043.56,19.8,1,1,2,I am reporting deceptive lending that has caused ongoing harm that will continue without regulatory intervention. Evidence suggests systematic consumer fraud across a widespread pattern across multiple states. I am reporting deceptive lending that has caused a pattern of losses totaling millions of dollars. I believe the company engaged in deliberate regulatory violations targeting non-English-speaking immigrants. This appears to be a case of discriminatory pricing that affects numerous borrowers who have filed similar complaints. I am submitting this complaint through the online portal. I have attached supporting documentation for your review.,Critical
2,0,1,4,4,30,63.03,1.4,0,0,0,A trivial slight overcharge appeared on my account and I need clarification. There was a formatting error that I would like to understand better. I have a question about overdraft protection policies related to my account. An insignificant small billing discrepancy appeared on my account and I need clarification. I have a question about overdraft protection policies related to my account. I would appreciate a prompt response to this matter. My account number ends in 6693.,Low
3,1,6,4,2,4,93.16,13.8,0,1,0,I suspect fraudulent activity involving my credit card account. I am experiencing significant financial hardship as a result of the wrongful denial of my legitimate claim. The company denied my application despite my repeated objections. A debt collector refused to validate the alleged debt regarding a debt I do not owe. The company refused to correct the error despite my repeated objections. I received a legal action notice even though the underlying debt was already resolved. I have attached supporting documentation for your review. Please investigate this issue and take appropriate action.,High
0,2,1,4,3,31,883.18,55.5,0,0,1,My auto loan account shows a disputed charge and customer service has been unhelpful. I found an unauthorized charge of $350 on my personal loan. The company provided contradictory information about my loan terms. I am disputing an annual fee because the terms were not clearly disclosed. My credit card account shows an incorrect late fee and customer service has been unhelpful. I would appreciate a prompt response to this matter. My account number ends in 2210.,Medium
5,0,7,3,3,14,1524.79,5.6,1,0,1,I suspect systematic billing manipulation involving my mortgage account. I received a legal action notice even though I never received the required written notice. A debt collector refused to validate the alleged debt regarding a debt I do not owe. The company denied my application despite my repeated objections. I suspect fraudulent activity involving my bank account account. The company denied my application despite my repeated objections. I suspect fraudulent activity involving my credit card account. The company denied my application despite my repeated objections. I would appreciate a prompt response to this matter.,High
2,0,1,4,4,33,252.31,28.2,0,1,1,"I have called four times to resolve a wrongful penalty but the problem persists. I found an unauthorized charge of $89 on my personal loan. Despite multiple attempts, I cannot get a clear answer about the dispute resolution process. My auto loan account shows an inaccurate balance and customer service has been unhelpful. Despite multiple attempts, I cannot get a clear answer about the interest rate change. I have attached supporting documentation for your review. Please investigate this issue and take appropriate action.",Medium
3,2,3,2,5,74,120.13,3.8,0,0,1,I have a question about automatic payment settings related to my account. Could someone explain the my interest rate associated with my savings account? An insignificant minor fee appeared on my account and I need clarification. I noticed a duplicate line item on my recent savings account statement. I would appreciate a prompt response to this matter. My account number ends in 6693.,Low
4,1,1,1,4,56,24.19,1.7,0,0,3,An insignificant delayed statement appeared on my account and I need clarification. I was confused by a delayed statement on my last billing cycle. There was a duplicate line item that I would like to understand better. I received a monthly statement and the transaction date seems incorrect. I noticed a delayed statement on my recent savings account statement. I received an account summary and the transaction date seems incorrect. My account number ends in 9954. I would appreciate a prompt response to this matter.,Low
3,0,4,2,2,20,1320.73,14.3,1,1,3,I received a wage garnishment notice even though the statute of limitations has clearly expired. I am experiencing substantial monetary losses as a result of the company's failure to process my payment correctly. I received a legal action notice even though I have made every payment on time. Please investigate this issue and take appropriate action.,High
1,1,6,2,2,18,1336.4,9.8,0,1,2,I received a foreclosure notice even though I never received the required written notice. The company froze my account despite my repeated objections. I suspect systematic billing manipulation involving my student loan account. A debt collector contacted my employer without authorization regarding a debt I do not owe. My credit score has been severely damaged due to inaccurate information reported to the credit bureaus. I am experiencing serious damage to my creditworthiness as a result of the wrongful denial of my legitimate claim. I would appreciate a prompt response to this matter. Please investigate this issue and take appropriate action.,High
1,0,10,3,1,1,86.53,11.1,0,0,2,My credit score has been wrongfully lowered due to the company's failure to process my payment correctly. My mortgage was denied my application without proper notification or justification. I am experiencing substantial monetary losses as a result of the company's failure to process my payment correctly. A debt collector has been calling me repeatedly at all hours regarding a debt I do not owe. I suspect fraudulent activity involving my bank account account. I am submitting this complaint through the online portal.,High
5,0,1,3,3,49,67.36,10.2,0,0,1,"Despite multiple attempts, I cannot get a clear answer about the interest rate change. I am disputing a service charge because I made the payment on time. I have called several times to resolve an inaccurate balance but the problem persists. I am disputing a late fee because the charge does not match my records. Despite multiple attempts, I cannot get a clear answer about the interest rate change. I would appreciate a prompt response to this matter.",Medium
2,0,4,3,3,3,45.85,22.3,0,0,1,My personal loan account shows an incorrect late fee and customer service has been unhelpful. I am disputing an annual fee because I was never notified of the policy change. I have called multiple times to resolve an incorrect late fee but the problem persists. I was charged an overdraft charge that I believe was applied incorrectly. My bank account account shows a disputed charge and customer service has been unhelpful. I have attached supporting documentation for your review.,Medium
3,1,8,4,3,4,476.13,18.9,0,0,0,I am experiencing an inability to access my own funds as a result of inaccurate information reported to the credit bureaus. My credit score has been significantly harmed due to unauthorized changes to my account terms. The company refused to correct the error despite my repeated objections. I am experiencing an inability to access my own funds as a result of unauthorized changes to my account terms. I have attached supporting documentation for your review. My account number ends in 8837.,High
4,2,6,2,3,17,1027.63,4.8,1,0,0,"My credit card account shows a disputed charge and customer service has been unhelpful. The company provided misleading information about the dispute resolution process. Despite multiple attempts, I cannot get a clear answer about the interest rate change. I was charged an annual fee that I believe was applied incorrectly. Despite multiple attempts, I cannot get a clear answer about the penalty structure. I found an unauthorized charge of $47 on my auto loan. I would appreciate a prompt response to this matter. I am submitting this complaint through the regulatory portal.",Medium
2,0,7,4,2,37,343.49,19.1,0,1,0,"Despite multiple attempts, I cannot get a clear answer about my loan terms. I was charged an annual fee that I believe was applied incorrectly. I am disputing an annual fee because the charge does not match my records. I have called multiple times to resolve a disputed charge but the problem persists. I am disputing an annual fee because the charge does not match my records. I would appreciate a prompt response to this matter. My account number ends in 3301.",Medium
0,1,0,0,1,109,61.03,11.2,0,0,2,I have a question about the rewards program related to my account. I received an account summary and the transaction date seems incorrect. There was a minor fee that I would like to understand better. Please investigate this issue and take appropriate action.,Low
3,2,6,3,1,50,255.38,17.5,1,0,3,"I am disputing a service charge because I made the payment on time. Despite multiple attempts, I cannot get a clear answer about the penalty structure. I found an unauthorized charge of $125 on my personal loan. I am disputing an annual fee because the terms were not clearly disclosed. My auto loan account shows an inaccurate balance and customer service has been unhelpful. I am disputing a late fee because the charge does not match my records. My account number ends in 9954. I have attached supporting documentation for your review.",Medium
2,2,1,0,2,8,15.13,7.6,0,0,2,I received an account summary and the balance seems incorrect. I was confused by a small billing discrepancy on my last billing cycle. I have a question about the rewards program related to my account. I noticed a delayed statement on my recent credit card statement. Please investigate this issue and take appropriate action. My account number ends in 8837.,Low
4,0,0,3,5,4,17.39,12.8,0,0,3,A trivial minor fee appeared on my account and I need clarification. Could someone explain the the fee structure associated with my savings account? I was confused by a small billing discrepancy on my last billing cycle. I noticed a formatting error on my recent savings account statement. A trivial minor fee appeared on my account and I need clarification. I have attached supporting documentation for your review. My account number ends in 4521.,Low
1,1,4,4,2,19,262.38,13.5,0,0,0,My credit card account shows an inaccurate balance and customer service has been unhelpful. I am disputing an overdraft charge because I was never notified of the policy change. My credit card account shows an inaccurate balance and customer service has been unhelpful. The company provided confusing information about my loan terms. I have attached supporting documentation for your review. Please investigate this issue and take appropriate action.,Medium
5,1,0,3,5,13,41.46,2.3,0,0,3,I noticed a duplicate line item on my recent credit card statement. There was a minor fee that I would like to understand better. I was confused by a delayed statement on my last billing cycle. I received a monthly statement and the balance seems incorrect. I am submitting this complaint through the regulatory portal. Please investigate this issue and take appropriate action.,Low
5,2,9,4,5,42,13323.11,38.2,1,1,1,The company's knowing violation of cease-and-desist orders constitutes a violation of the Fair Credit Reporting Act. I am filing this complaint under the Equal Credit Opportunity Act due to systematic refusal to provide required disclosures. Evidence suggests discriminatory lending practices across numerous borrowers who have filed similar complaints. I am filing this complaint under the Truth in Lending Act due to deliberate falsification of account records. The company's knowing violation of cease-and-desist orders constitutes a violation of the Fair Credit Reporting Act. I am submitting this complaint through the federal portal. My account number ends in 3301.,Critical
4,2,5,2,4,40,2766.67,20.7,0,0,2,I suspect unauthorized account access involving my student loan account. I received a legal action notice even though I never received the required written notice. The company froze my account despite my repeated objections. I am experiencing substantial monetary losses as a result of the company's failure to process my payment correctly. Please investigate this issue and take appropriate action. I am submitting this complaint through the online portal.,High
3,1,1,0,2,108,6.37,1.5,0,0,2,I noticed an unfamiliar charge of a few dollars on my recent checking account statement. I received an account summary and the balance seems incorrect. A trivial delayed statement appeared on my account and I need clarification. There was a small billing discrepancy that I would like to understand better. I received a fee schedule and the fee description seems incorrect. I am submitting this complaint through the federal portal. My account number ends in 3301.,Low
4,0,1,2,1,11,90.11,3.1,0,0,1,I noticed a small billing discrepancy on my recent credit card statement. I was confused by a slight overcharge on my last billing cycle. A minor unfamiliar charge of a few dollars appeared on my account and I need clarification. I would appreciate a prompt response to this matter.,Low
0,0,0,0,2,2,313.41,16.0,1,0,1,"Despite multiple attempts, I cannot get a clear answer about my loan terms. I was charged an annual fee that I believe was applied incorrectly. I have called four times to resolve a disputed charge but the problem persists. My auto loan account shows a wrongful penalty and customer service has been unhelpful. I would appreciate a prompt response to this matter. My account number ends in 4521.",Medium
0,2,3,3,1,18,280.98,44.8,1,0,1,I am experiencing an inability to access my own funds as a result of unauthorized changes to my account terms. I suspect identity theft involving my credit card account. A debt collector refused to validate the alleged debt regarding a debt I do not owe. My credit score has been severely damaged due to the wrongful denial of my legitimate claim. A debt collector refused to validate the alleged debt regarding a debt I do not owe. My account number ends in 2210. Please investigate this issue and take appropriate action.,High
2,0,0,0,1,180,23.36,4.3,0,0,1,I received an account summary and the balance seems incorrect. I have a question about the fee structure related to my account. A small minor fee appeared on my account and I need clarification. I have a question about the fee structure related to my account. I received a fee schedule and the balance seems incorrect. I have attached supporting documentation for your review. I am submitting this complaint through the consumer portal.,Low
5,2,13,4,1,16,17387.37,12.8,1,1,2,The company's knowing violation of cease-and-desist orders constitutes a violation of the Fair Debt Collection Practices Act. This appears to be a case of deceptive lending that affects a widespread pattern across multiple states. I am filing this complaint under the Fair Credit Reporting Act due to deliberate falsification of account records. The abusive account practices I experienced appears to be indicative of a company-wide compliance failure. I am submitting this complaint through the online portal. I have attached supporting documentation for your review.,Critical
0,0,8,4,3,23,7067.55,39.7,1,0,2,I believe the company engaged in discriminatory lending practices targeting service members deployed overseas. This appears to be a case of deceptive lending that affects hundreds of affected consumers in my community. The discriminatory pricing I experienced appears to be not an isolated incident but a deliberate business strategy. Evidence suggests systematic consumer fraud across an entire class of vulnerable account holders. I am filing this complaint under the Equal Credit Opportunity Act due to systematic refusal to provide required disclosures. I have attached supporting documentation for your review. Please investigate this issue and take appropriate action.,Critical
2,2,2,1,3,11,181.21,4.4,0,0,0,I received a monthly statement and the fee description seems incorrect. I noticed a minor fee on my recent savings account statement. There was a delayed statement that I would like to understand better. I noticed a minor fee on my recent credit card statement. I have attached supporting documentation for your review. I would appreciate a prompt response to this matter.,Low
1,2,3,3,1,1,2292.47,13.9,1,1,0,My mortgage was denied my application without proper notification or justification. A debt collector has been calling me repeatedly at all hours regarding a debt I do not owe. I am experiencing an inability to access my own funds as a result of inaccurate information reported to the credit bureaus. A debt collector contacted my employer without authorization regarding a debt I do not owe. I would appreciate a prompt response to this matter. Please investigate this issue and take appropriate action.,High
4,1,5,4,1,22,109.89,19.6,0,1,3,I am experiencing significant financial hardship as a result of the company's failure to process my payment correctly. I received an account closure notice even though I never received the required written notice. A debt collector contacted my employer without authorization regarding a debt I do not owe. My account number ends in 4521. I am submitting this complaint through the consumer portal.,High
1,2,2,1,1,59,2648.4,83.0,1,0,0,I received a wage garnishment notice even though I have made every payment on time. My credit score has been wrongfully lowered due to unauthorized changes to my account terms. I received a legal action notice even though I never received the required written notice. My credit score has been wrongfully lowered due to unauthorized changes to my account terms. I am submitting this complaint through the online portal. My account number ends in 3301.,High
2,0,2,0,1,107,94.67,1.5,0,0,2,The company's knowing violation of cease-and-desist orders constitutes a violation of the Fair Credit Reporting Act. This appears to be a case of abusive account practices that affects an entire class of vulnerable account holders. I am filing this complaint under UDAAP provisions under Dodd-Frank due to repeated targeting of protected classes. This appears to be a case of discriminatory pricing that affects an entire class of vulnerable account holders.,Low
0,2,0,4,2,72,47.39,2.8,0,0,1,I have a question about my interest rate related to my account. I received a fee schedule and the balance seems incorrect. Could someone explain the the fee structure associated with my credit card? I received an account summary and the fee description seems incorrect. I was confused by a formatting error on my last billing cycle. I received a monthly statement and the fee description seems incorrect. I would appreciate a prompt response to this matter. I have attached supporting documentation for your review.,Low
5,0,1,2,2,177,177.03,1.1,0,0,2,There was a formatting error that I would like to understand better. An insignificant formatting error appeared on my account and I need clarification. I received a fee schedule and the transaction date seems incorrect. Could someone explain the my interest rate associated with my savings account? A minor formatting error appeared on my account and I need clarification. Please investigate this issue and take appropriate action. My account number ends in 4521.,Low
4,2,6,0,2,10,2623.35,20.1,1,1,2,My student loan was froze my account without proper notification or justification. I suspect fraudulent activity involving my student loan account. My credit score has been severely damaged due to unauthorized changes to my account terms. The company denied my application despite my repeated objections. My credit score has been severely damaged due to inaccurate information reported to the credit bureaus. My account number ends in 8837. I am submitting this complaint through the consumer portal.,High
0,1,5,3,2,7,43.31,3.9,0,0,0,"Despite multiple attempts, I cannot get a clear answer about the interest rate change. The company provided confusing information about the interest rate change. I have called four times to resolve an inaccurate balance but the problem persists. I was charged an overdraft charge that I believe was applied incorrectly. I am disputing an overdraft charge because the charge does not match my records. I am submitting this complaint through the online portal. I have attached supporting documentation for your review.",Medium
4,0,2,0,5,11,54.93,6.1,0,0,2,A minor unfamiliar charge of a few dollars appeared on my account and I need clarification. Could someone explain the my interest rate associated with my credit card? There was a small billing discrepancy that I would like to understand better. I would appreciate a prompt response to this matter. Please investigate this issue and take appropriate action.,Low
1,0,7,2,2,9,5845.18,12.8,1,1,2,The company continued reporting inaccurate information despite my repeated objections. I am experiencing significant financial hardship as a result of unauthorized changes to my account terms. I received a wage garnishment notice even though I have made every payment on time. I suspect identity theft involving my bank account account. A debt collector has been calling me repeatedly at all hours regarding a debt I do not owe. I have attached supporting documentation for your review. I would appreciate a prompt response to this matter.,High
4,1,1,4,3,14,24.52,3.3,1,0,3,"I have called several times to resolve a disputed charge but the problem persists. Despite multiple attempts, I cannot get a clear answer about the interest rate change. I am disputing an overdraft charge because I was never notified of the policy change. My personal loan account shows an inaccurate balance and customer service has been unhelpful. I was charged an overdraft charge that I believe was applied incorrectly. My account number ends in 8837. I have attached supporting documentation for your review.",Medium
1,0,2,4,2,3,376.14,9.3,1,0,3,A debt collector has been calling me repeatedly at all hours regarding a debt I do not owe. I received an account closure notice even though the statute of limitations has clearly expired. My credit score has been severely damaged due to inaccurate information reported to the credit bureaus. I am experiencing significant financial hardship as a result of the wrongful denial of my legitimate claim. I received a legal action notice even though the statute of limitations has clearly expired. My account number ends in 2210. I am submitting this complaint through the online portal.,High
3,2,0,2,4,21,43.02,2.2,0,0,3,There was a duplicate line item that I would like to understand better. Could someone explain the overdraft protection policies associated with my credit card? There was an unfamiliar charge of a few dollars that I would like to understand better. I would appreciate a prompt response to this matter. I have attached supporting documentation for your review.,Low
